class,order,family,genus,species,haploid
Actinopteri,Cypriniformes,Cyprinidae,chalcalburnus,Chalcalburnus_mossulensis,24
Actinopteri,Cypriniformes,Cyprinidae,chanodichthys,Chanodichthys_dabryi,24
Actinopteri,Cypriniformes,Cyprinidae,chanodichthys,Chanodichthys_dabryi,24
Actinopteri,Cypriniformes,Cyprinidae,chanodichthys,Chanodichthys_erythropterus,24
Actinopteri,Cypriniformes,Cyprinidae,chanodichthys,Chanodichthys_erythropterus,24
Actinopteri,Cypriniformes,Cyprinidae,chanodichthys,Chanodichthys_erythropterus,24
Actinopteri,Cypriniformes,Cyprinidae,chanodichthys,Chanodichthys_mongolicus,24
Actinopteri,Cypriniformes,Cyprinidae,chanodichthys,Chanodichthys_mongolicus,24
Actinopteri,Cypriniformes,Cyprinidae,chela,Chela_cachius,35
Actinopteri,Cypriniformes,Cyprinidae,chela,Chela_caeruleostigmata,24
Actinopteri,Cypriniformes,Cyprinidae,chela,Chela_laubuca,25
Actinopteri,Cypriniformes,Cyprinidae,chondrostoma,Chondrostoma_kneri,25
Actinopteri,Cypriniformes,Cyprinidae,chondrostoma,Chondrostoma_nasus,25
Actinopteri,Cypriniformes,Cyprinidae,chondrostoma,Chondrostoma_nasus,25
Actinopteri,Cypriniformes,Cyprinidae,chondrostoma,Chondrostoma_phoxinus,25
Actinopteri,Cypriniformes,Cyprinidae,chondrostoma,Chondrostoma_soetta,25
Actinopteri,Cypriniformes,Cyprinidae,chrosomus,Chrosomus_cumberlandensis,25
Actinopteri,Cypriniformes,Cyprinidae,chrosomus,Chrosomus_eos,25
Actinopteri,Cypriniformes,Cyprinidae,chrosomus,Chrosomus_erythrogaster,25
Actinopteri,Cypriniformes,Cyprinidae,chrosomus,Chrosomus_neogaeus,25
Actinopteri,Cypriniformes,Cyprinidae,cirrhinus,Cirrhinus_jullieni,25
Actinopteri,Cypriniformes,Cyprinidae,cirrhinus,Cirrhinus_molitorella,25
Actinopteri,Cypriniformes,Cyprinidae,cirrhinus,Cirrhinus_molitorella,25
Actinopteri,Cypriniformes,Cyprinidae,cirrhinus,Cirrhinus_mrigala,25
Actinopteri,Cypriniformes,Cyprinidae,cirrhinus,Cirrhinus_mrigala,25
Actinopteri,Cypriniformes,Cyprinidae,cirrhinus,Cirrhinus_mrigala,25
Actinopteri,Cypriniformes,Cyprinidae,cirrhinus,Cirrhinus_mrigala,25
Actinopteri,Cypriniformes,Cyprinidae,cirrhinus,Cirrhinus_reba,25
Actinopteri,Cypriniformes,Cyprinidae,cirrhinus,Cirrhinus_reba,24
Actinopteri,Cypriniformes,Cyprinidae,coreoleuciscus,Coreoleuciscus_splendidus,50
Actinopteri,Cypriniformes,Cyprinidae,couesius,Couesius_plumbeus,25
Actinopteri,Cypriniformes,Cyprinidae,crossocheilus,Crossocheilus_latius,24
Actinopteri,Cypriniformes,Cyprinidae,crossocheilus,Crossocheilus_latius,25
Actinopteri,Cypriniformes,Cyprinidae,crossocheilus,Crossocheilus_latius,25
Actinopteri,Cypriniformes,Cyprinidae,ctenopharyngodon,Ctenopharyngodon_idellus,24
Actinopteri,Cypriniformes,Cyprinidae,ctenopharyngodon,Ctenopharyngodon_idellus,24
Actinopteri,Cypriniformes,Cyprinidae,ctenopharyngodon,Ctenopharyngodon_idellus,24
Actinopteri,Cypriniformes,Cyprinidae,ctenopharyngodon,Ctenopharyngodon_idellus,24
Actinopteri,Cypriniformes,Cyprinidae,ctenopharyngodon,Ctenopharyngodon_idellus,24
Actinopteri,Cypriniformes,Cyprinidae,ctenopharyngodon,Ctenopharyngodon_idellus,24
Actinopteri,Cypriniformes,Cyprinidae,cyclocheilichthys,Cyclocheilichthys_apogon,25
Actinopteri,Cypriniformes,Cyprinidae,cyclocheilichthys,Cyclocheilichthys_enoplos,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_callistia,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_camura,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_camura,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_galactura,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_lutrensis,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_lutrensis,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_lutrensis,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_proserpina,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_spiloptera,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_venusta,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_venusta,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinella,Cyprinella_whipplei,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinion,Cyprinion_macrostomus,25
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,49.5
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,49.5
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,75
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
