Class,Order,Family,Genus,species,2N,haploid
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_shannonorum,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_siniferus,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_spinosus,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_teapensis,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_torquatus,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_undulatus,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_uniformis,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_utiformis,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_variabilis,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_virgatus,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_woodi,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_zosteromus,30,15
Reptilia,Iguania,Phrynosomatidae,Uma,Uma_inornata,34,17
Reptilia,Iguania,Phrynosomatidae,Uma,Uma_notata,34,17
Reptilia,Iguania,Phrynosomatidae,Uma,Uma_scoparia,34,17
Reptilia,Iguania,Phrynosomatidae,Urosaurus,Urosaurus_graciosus,34,17
Reptilia,Iguania,Phrynosomatidae,Urosaurus,Urosaurus_nigricaudus,34,17
Reptilia,Iguania,Phrynosomatidae,Urosaurus,Urosaurus_ornatus,"34,30","14,15,17"
Reptilia,Iguania,Phrynosomatidae,Uta,Uta_nolascensis,34,17
Reptilia,Iguania,Phrynosomatidae,Uta,Uta_palmeri,34,17
Reptilia,Iguania,Phrynosomatidae,Uta,Uta_squamata,34,17
Reptilia,Iguania,Phrynosomatidae,Uta,Uta_stansburiana,34,17
Reptilia,Iguania,Polychrotidae,Polychrus,Polychrus_acutirostris,20,10
Reptilia,Iguania,Polychrotidae,Polychrus,Polychrus_femoralis,26,13
Reptilia,Iguania,Polychrotidae,Polychrus,Polychrus_marmoratus,"30,36","15,18"
Reptilia,Iguania,Polychrotidae,Polychrus,Polychrus_peruvianus,28,14
Reptilia,Iguania,Tropiduridae,Eurolophosaurus,Eurolophosaurus_amathites,36,18
Reptilia,Iguania,Tropiduridae,Eurolophosaurus,Eurolophosaurus_divaricatus,36,18
Reptilia,Iguania,Tropiduridae,Eurolophosaurus,Eurolophosaurus_nanuzae,36,18
Reptilia,Iguania,Tropiduridae,Microlophus,Microlophus_albemarlensis,36,18
Reptilia,Iguania,Tropiduridae,Microlophus,Microlophus_delanonis,36,18
Reptilia,Iguania,Tropiduridae,Microlophus,Microlophus_duncanensis,36,18
Reptilia,Iguania,Tropiduridae,Plica,Plica_plica,40,20
Reptilia,Iguania,Tropiduridae,Plica,Plica_umbra,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_cocorobensis,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_erythrocephalus,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_etheridgei,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_hispidus,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_hygomi,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_itambere,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_montanus,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_mucujensis,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_oreadicus,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_psammonastes,35,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_semitaeniatus,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_spinulosus,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_torquatus,36,18
Reptilia,Iguania,Tropiduridae,Tropidurus,Tropidurus_tropidurus,36,18
