Clade,Family,species,Genus,species,haploid
Angiosperms,Fabaceae,Astragalus_alopecias,Astragalus,alopecias,8
Angiosperms,Fabaceae,Astragalus_alopecuroides,Astragalus,alopecuroides,8
Angiosperms,Fabaceae,Astragalus_alopecurus,Astragalus,alopecurus,8
Angiosperms,Fabaceae,Astragalus_alpinus,Astragalus,alpinus,8
Angiosperms,Fabaceae,Astragalus_altus,Astragalus,altus,11
Angiosperms,Fabaceae,Astragalus_amherstianus,Astragalus,amherstianus,8
Angiosperms,Fabaceae,Astragalus_amnis-amissi,Astragalus,amnis-amissi,12
Angiosperms,Fabaceae,Astragalus_annularis,Astragalus,annularis,8
Angiosperms,Fabaceae,Astragalus_arizonicus,Astragalus,arizonicus,8
Angiosperms,Fabaceae,Astragalus_asymmetricus,Astragalus,asymmetricus,11
Angiosperms,Fabaceae,Astragalus_atropilosulus,Astragalus,atropilosulus,8
Angiosperms,Fabaceae,Astragalus_atropubescens,Astragalus,atropubescens,11
Angiosperms,Fabaceae,Astragalus_australis,Astragalus,australis,16
Angiosperms,Fabaceae,Astragalus_avicennus,Astragalus,avicennus,8
Angiosperms,Fabaceae,Astragalus_bakaliensis,Astragalus,bakaliensis,8
Angiosperms,Fabaceae,Astragalus_basilicus,Astragalus,basilicus,8
Angiosperms,Fabaceae,Astragalus_beatleyae,Astragalus,beatleyae,11
Angiosperms,Fabaceae,Astragalus_bicuspis,Astragalus,bicuspis,8
Angiosperms,Fabaceae,Astragalus_bisulcatus,Astragalus,bisulcatus,12
Angiosperms,Fabaceae,Astragalus_boeticus,Astragalus,boeticus,15
Angiosperms,Fabaceae,Astragalus_bolanderi,Astragalus,bolanderi,11
Angiosperms,Fabaceae,Astragalus_brachystachys,Astragalus,brachystachys,16
Angiosperms,Fabaceae,Astragalus_brandegeei,Astragalus,brandegeei,11
Angiosperms,Fabaceae,Astragalus_breweri,Astragalus,breweri,11
Angiosperms,Fabaceae,Astragalus_callainus,Astragalus,callainus,8
Angiosperms,Fabaceae,Astragalus_calycosus,Astragalus,calycosus,11
Angiosperms,Fabaceae,Astragalus_camptoceras,Astragalus,camptoceras,8
Angiosperms,Fabaceae,Astragalus_campylorhynchus,Astragalus,campylorhynchus,8
Angiosperms,Fabaceae,Astragalus_canadensis,Astragalus,canadensis,8
Angiosperms,Fabaceae,Astragalus_caraganae,Astragalus,caraganae,8
Angiosperms,Fabaceae,Astragalus_castetteri,Astragalus,castetteri,11
Angiosperms,Fabaceae,Astragalus_chlorostachys,Astragalus,chlorostachys,8
Angiosperms,Fabaceae,Astragalus_citrinus,Astragalus,citrinus,8
Angiosperms,Fabaceae,Astragalus_clusii,Astragalus,clusii,8
Angiosperms,Fabaceae,Astragalus_cobrensis,Astragalus,cobrensis,11
Angiosperms,Fabaceae,Astragalus_coluteocarpus,Astragalus,coluteocarpus,8
Angiosperms,Fabaceae,Astragalus_coriaceus,Astragalus,coriaceus,11
Angiosperms,Fabaceae,Astragalus_corrugatus,Astragalus,corrugatus,8
Angiosperms,Fabaceae,Astragalus_cottonii,Astragalus,cottonii,8
