Order,Family,Genus,species,femalediploidnumber,malediploidnumber,sexchromosome,haploid
Orthoptera,Phalangopsidae,Endecous,Endecous alejomesai,22,21,XO,11
Orthoptera,Phalangopsidae,Endecous,Endecous batariensis,22,21,XO,11
Orthoptera,Phalangopsidae,Endecous,Endecous cavernicolus,22,21,XO,11
Orthoptera,Phalangopsidae,Endecous,Endecous itatibensis,20,19,XO,10
Orthoptera,Phalangopsidae,Endecous,Endecous onthophagus,20,19,XO,10
Orthoptera,Acrididae,Dichromatos,Dichromatos corupa,22,21,XXY,11
Orthoptera,Acrididae,Dichromatos,Dichromatos lilloanus,22,21,XXY,11
Orthoptera,Acrididae,Dichromatos,Dichromatos montanus,22,21,XXY,11
Orthoptera,Acrididae,Dichromatos,Dichromatos schrottkyi,22,21,XXY,11
Orthoptera,Acrididae,Leiotettix,Leiotettix politus,14,13,XXY,7
Orthoptera,Acrididae,Ronderosia,Ronderosia dubius,22,21,XXY,11
Orthoptera,Acrididae,Ronderosia,Ronderosia robustus,22,21,XXY,11
Orthoptera,Acrididae,Scotussa,Scotussa daguerrei,22,21,XXY,11
Orthoptera,Acrididae,Scotussa,Scotussa daguerrei,22,21,XXY,11
Orthoptera,Acrididae,Dichroplus,Dichroplus dubius,22,21,XXY,11
Orthoptera,Acrididae,Dichroplus,Dichroplus robustus,22,21,XXY,11
Orthoptera,Acrididae,Eurotettix,Eurotettix lilloanus,22,21,XXY,11
Orthoptera,Acrididae,Eurotettix,Eurotettix schrottkyi,22,21,XXY,11
Orthoptera,Acrididae,Eurotettix,Eurotettix sp. 1,22,21,XXY,11
Orthoptera,Acrididae,Eurotettix,Eurotettix sp. 2,22,21,XXY,11
Orthoptera,Acrididae,Leiotettix,Leiotettix politus.2,14,13,XXY,7
Orthoptera,Acrididae,Leiotettix,Leiotettix sp. 1,16,15,XXY,8
Orthoptera,Acrididae,Baeacris,Baeacris punctulatus,22,22,XY,11
Orthoptera,Acrididae,Leiotettix,Leiotettix politus,14,14,XY,7
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa gryllotalpa,12,12,XY,6
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa stepposa,12,12,XY,6
Orthoptera,Acrididae,Aleuas,Aleuas gracilis,20,20,XY,10
Orthoptera,Acrididae,Aleuas,Aleuas lineatus,20,20,XY,10
Orthoptera,Acrididae,Aleuas,Aleuas sp. 1,20,20,XY,10
Orthoptera,Acrididae,Aleuas,Aleuas sp. 2,22,22,XY,11
Orthoptera,Acrididae,Aleuas,Aleuas sp. 3,20,20,XY,10
Orthoptera,Acrididae,Atrachelacris,Atrachelacris olivaceus,22,22,XY,11
Orthoptera,Acrididae,Atrachelacris,Atrachelacris unicolor,22,22,XY,11
Orthoptera,Acrididae,Dichroplus,Dichroplus bergi,22,22,XY,11
Orthoptera,Acrididae,Dichroplus,Dichroplus obsurus,18,18,XY,9
Orthoptera,Acrididae,Dichroplus,Dichroplus paraguayensis,20,20,XY,10
Orthoptera,Acrididae,Dichroplus,Dichroplus piceomaculatus,22,22,XY,11
Orthoptera,Acrididae,Dichroplus,Dichroplus porteri,22,22,XY,11
Orthoptera,Acrididae,Dichroplus,Dichroplus silveiraguidoi,8,8,XY,4
Orthoptera,Acrididae,Dichroplus,Dichroplus sp. 12,20,20,XY,10
Orthoptera,Acrididae,Dichroplus,Dichroplus sp. 13,20,20,XY,10
Orthoptera,Acrididae,Dichroplus,Dichroplus sp. 14,22,22,XY,11
Orthoptera,Acrididae,Dichroplus,Dichroplus sp. 15,20,20,XY,10
Orthoptera,Acrididae,Dichroplus,Dichroplus sp. 16,22,22,XY,11
Orthoptera,Acrididae,Dichroplus,Dichroplus vittatus,20,20,XY,10
Orthoptera,Acrididae,Dichroplus,Dichroplus vittatus.2,18,18,XY,9
Orthoptera,Acrididae,Dichroplus,Dichroplus vittigerum,18,18,XY,9
Orthoptera,Acrididae,Eurotettix,Eurotettix minor,22,22,XY,11
Orthoptera,Acrididae,Leiotettix,Leiotettix flavipes,22,22,XY,11
Orthoptera,Acrididae,Leiotettix,Leiotettix pulcher,22,22,XY,11
Orthoptera,Acrididae,Leiotettix,Leiotettix sp. 2,18,18,XY,9
Orthoptera,Acrididae,Scotussa,Scotussa delicatula,16,16,XY,8
Orthoptera,Acrididae,Scyllina,Scyllina signatipennis,22,22,XY,11
Orthoptera,Acrididae,Zygoclistron,Zygoclistron falconinum,20,20,XY,10
Orthoptera,Acrididae,Zygoclistron,Zygoclistron nasicum,20,20,XY,10
Orthoptera,Acrididae,Zygoclistron,Zygoclistron trachystictum,20,20,XY,10
Orthoptera,Ommexechidae,Neuquina,Neuquina fictor,22,22,XY,11
Orthoptera,Ommexechidae,Pachyosa,Pachyosa signata,22,22,XY,11
Orthoptera,Ommexechidae,Spathalium,Spathalium audouini,22,22,XY,11
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus willemsei,22,22,XY,11
Orthoptera,Romaleidae,Diponthus,Diponthus communis,22,22,XY,11
Orthoptera,Romaleidae,Xyleus,Xyleus laevipes,22,22,XY,11
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda iheringi,22,22,XY,11
Orthoptera,Tristiridae,Atacamacris,Atacamacris diminuta,10,10,XY,5
Orthoptera,Tettigoniidae,Isophya,Isophya hemiptera,30,30,XY,15
