full_species,Genus,species,haploid
Polypodium_sibiricum,Polypodium,sibiricum,37
Polypodium_siccum,Polypodium,siccum,37
Polypodium_thunbergianum,Polypodium,thunbergianum,51
Polypodium_thyssanolepis,Polypodium,thyssanolepis,74
Polypodium_tridens,Polypodium,tridens,37
Polypodium_triseriale,Polypodium,triseriale,37
Polypodium_verrucosum,Polypodium,verrucosum,37
Polypodium_virginianum,Polypodium,virginianum,37
Polypodium_vitiense,Polypodium,vitiense,37
Polypodium_vulgare,Polypodium,vulgare,74
Prosaptia_contigua,Prosaptia,contigua,74
Pseudodrynaria_coronans,Pseudodrynaria,coronans,37
Pyrrosia_mollis,Pyrrosia,mollis,37
Pyrrosia_lanceolata,Pyrrosia,lanceolata,37
Pyrrosia_beddomeana,Pyrrosia,beddomeana,37
Pyrrosia_flocculosa,Pyrrosia,flocculosa,36
Pyrrosia_linearifolia,Pyrrosia,linearifolia,37
Pyrrosia_longifolia,Pyrrosia,longifolia,11
Pyrrosia_mannii,Pyrrosia,mannii,37
Pyrrosia_nummulariifolia,Pyrrosia,nummulariifolia,37
Pyrrosia_porosa,Pyrrosia,porosa,74
Pyrrosia_stictica,Pyrrosia,stictica,74
Pyrrosia_stigmosa,Pyrrosia,stigmosa,37
Schellolepis_persicifolia,Schellolepis,persicifolia,37
Schellolepis_subauriculata,Schellolepis,subauriculata,36
Selliguea_griffithiana,Selliguea,griffithiana,37
Selliguea_hastata,Selliguea,hastata,36
Serpocaulon_ptilorhizon,Serpocaulon,ptilorhizon,37
Stenogrammitis_delitescens,Stenogrammitis,delitescens,132
Stenogrammitis_hartii,Stenogrammitis,hartii,33
Terpsichore_asplenifolia,Terpsichore,asplenifolia,37
Terpsichore_taxifolia,Terpsichore,taxifolia,37
Tomophyllum_subminutum,Tomophyllum,subminutum,37
Tricholepidium_normale,Tricholepidium,normale,36
Xiphopteris_cornigera,Xiphopteris,cornigera,74
Xiphopteris_serrulata,Xiphopteris,serrulata,74
